Number,Nitride,R1,X1,V1,R2,X2,V3,R3,X3,R4,X4,R5,X5,R6,X6,R7,X7,R8,X8,I1,I2,I3,I4,I5,I6,I7,I8,PBE Eg (eV),HSE Eg (eV),Band offset (eV),Formation energy per atom (eV)
94,MgZn2CdSi2Hf2N8,1.3,1.31,2,1.31,1.65,2,1.31,1.65,1.48,1.69,1.11,1.9,1.11,1.9,1.5,1.3,1.5,1.3,0.7377,0.9064,0.9064,0.8678,0.7865,0.7865,0.6585,0.6585,1.9063,3.374,0.0248,-2.6675
95,MgZnCd2GeTi2ZrN8,1.3,1.31,2,1.31,1.65,2,1.48,1.69,1.48,1.69,1.22,2.01,1.36,1.54,1.36,1.54,1.48,1.33,0.7377,0.9064,0.8678,0.8678,0.762,0.6588,0.6588,0.6401,2.038,3.4157,0.6012,-2.571
96,Ca3SrGe2Hf2N8,1.74,1.0,2,1.74,1.0,2,1.74,1.0,1.92,0.95,1.22,2.01,1.22,2.01,1.5,1.3,1.5,1.3,0.5898,0.5898,0.5898,0.5495,0.762,0.762,0.6585,0.6585,2.3495,3.7586,0.5205,-2.8061
97,Ca2SrCdSi2TiHfN8,1.74,1.0,2,1.74,1.0,2,1.92,0.95,1.48,1.69,1.11,1.9,1.11,1.9,1.36,1.54,1.5,1.3,0.5898,0.5898,0.5495,0.8678,0.7865,0.7865,0.6588,0.6585,1.571,2.939,0.51,-2.8724
98,CaBaGeTiN4,1.74,1.0,2,1.74,1.0,2,1.98,0.89,1.98,0.89,1.22,2.01,1.22,2.01,1.36,1.54,1.36,1.54,0.5898,0.5898,0.5029,0.5029,0.762,0.762,0.6588,0.6588,2.2205,3.4845,1.4562,-2.6481
99,Ca2BaZnSiSn3N8,1.74,1.0,2,1.74,1.0,2,1.98,0.89,1.31,1.65,1.11,1.9,1.41,1.96,1.41,1.96,1.41,1.96,0.5898,0.5898,0.5029,0.9064,0.7865,0.7086,0.7086,0.7086,1.058,2.415,1.075,-2.1912
100,Ca2BaCdSiGe2TiN8,1.74,1.0,2,1.74,1.0,2,1.98,0.89,1.48,1.69,1.11,1.9,1.22,2.01,1.22,2.01,1.36,1.54,0.5898,0.5898,0.5029,0.8678,0.7865,0.762,0.762,0.6588,1.4951,2.9295,0.8534,-2.4913
101,Ca2BaCdSiGeSnHfN8,1.74,1.0,2,1.74,1.0,2,1.98,0.89,1.48,1.69,1.11,1.9,1.22,2.01,1.41,1.96,1.5,1.3,0.5898,0.5898,0.5029,0.8678,0.7865,0.762,0.7086,0.6585,1.1134,2.502,0.7868,-2.4501
102,Ca2Zn2Si3ZrN8,1.74,1.0,2,1.74,1.0,2,1.31,1.65,1.31,1.65,1.11,1.9,1.11,1.9,1.11,1.9,1.48,1.33,0.5898,0.5898,0.9064,0.9064,0.7865,0.7865,0.7865,0.6401,1.4392,2.8158,0.8019,-2.7276
103,CaSrBa2SiSnZrHfN8,1.74,1.0,2,1.92,0.95,2,1.98,0.89,1.98,0.89,1.11,1.9,1.41,1.96,1.48,1.33,1.5,1.3,0.5898,0.5495,0.5029,0.5029,0.7865,0.7086,0.6401,0.6585,2.0571,3.3721,0.8583,-2.7515
104,CaSrBaZnSiSn2HfN8,1.74,1.0,2,1.92,0.95,2,1.98,0.89,1.31,1.65,1.11,1.9,1.41,1.96,1.41,1.96,1.5,1.3,0.5898,0.5495,0.5029,0.9064,0.7865,0.7086,0.7086,0.6585,1.3867,2.7896,1.24,-2.4245
105,CaSrBaCdSiGeZr2N8,1.74,1.0,2,1.92,0.95,2,1.98,0.89,1.48,1.69,1.11,1.9,1.22,2.01,1.48,1.33,1.48,1.33,0.5898,0.5495,0.5029,0.8678,0.7865,0.762,0.6401,0.6401,1.1809,2.3845,0.6802,-2.626
106,CaSrBaCdGeSnTi2N8,1.74,1.0,2,1.92,0.95,2,1.98,0.89,1.48,1.69,1.22,2.01,1.41,1.96,1.36,1.54,1.36,1.54,0.5898,0.5495,0.5029,0.8678,0.762,0.7086,0.6588,0.6588,1.2705,2.5805,1.1719,-2.4511
107,CaSrBaCdGeTiZrHfN8,1.74,1.0,2,1.92,0.95,2,1.98,0.89,1.48,1.69,1.22,2.01,1.36,1.54,1.48,1.33,1.5,1.3,0.5898,0.5495,0.5029,0.8678,0.762,0.6588,0.6401,0.6585,1.3971,2.6578,0.8476,-2.6955
108,CaSrZnCdSnZrHf2N8,1.74,1.0,2,1.92,0.95,2,1.31,1.65,1.48,1.69,1.41,1.96,1.48,1.33,1.5,1.3,1.5,1.3,0.5898,0.5495,0.9064,0.8678,0.7086,0.6401,0.6585,0.6585,1.334,2.6341,0.5707,-2.6122
109,CaBa2ZnSiSn2ZrN8,1.74,1.0,2,1.98,0.89,2,1.98,0.89,1.31,1.65,1.11,1.9,1.41,1.96,1.41,1.96,1.48,1.33,0.5898,0.5029,0.5029,0.9064,0.7865,0.7086,0.7086,0.6401,1.4735,2.8607,1.2598,-2.3674
110,CaBa2CdGeZr2HfN8,1.74,1.0,2,1.98,0.89,2,1.98,0.89,1.48,1.69,1.22,2.01,1.48,1.33,1.48,1.33,1.5,1.3,0.5898,0.5029,0.5029,0.8678,0.762,0.6401,0.6401,0.6585,1.4426,2.6577,1.164,-2.661
111,CaBaZn2SiSnZr2N8,1.74,1.0,2,1.98,0.89,2,1.31,1.65,1.31,1.65,1.11,1.9,1.41,1.96,1.48,1.33,1.48,1.33,0.5898,0.5029,0.9064,0.9064,0.7865,0.7086,0.6401,0.6401,1.0071,2.3275,0.9701,-2.478
112,CaBaZnCdSi2TiHfN8,1.74,1.0,2,1.98,0.89,2,1.31,1.65,1.48,1.69,1.11,1.9,1.11,1.9,1.36,1.54,1.5,1.3,0.5898,0.5029,0.9064,0.8678,0.7865,0.7865,0.6588,0.6585,0.9402,2.1524,1.1322,-2.6541
113,CaBaZnCdSiSnTiHfN8,1.74,1.0,2,1.98,0.89,2,1.31,1.65,1.48,1.69,1.11,1.9,1.41,1.96,1.36,1.54,1.5,1.3,0.5898,0.5029,0.9064,0.8678,0.7865,0.7086,0.6588,0.6585,1.0257,2.2635,0.9893,-2.4817
114,CaBaZnCdZr2Hf2N8,1.74,1.0,2,1.98,0.89,2,1.31,1.65,1.48,1.69,1.48,1.33,1.48,1.33,1.5,1.3,1.5,1.3,0.5898,0.5029,0.9064,0.8678,0.6401,0.6401,0.6585,0.6585,1.766,3.0206,0.7595,-2.7892
115,CaZn2CdGeSnTiZrN8,1.74,1.0,2,1.31,1.65,2,1.31,1.65,1.48,1.69,1.22,2.01,1.41,1.96,1.36,1.54,1.48,1.33,0.5898,0.9064,0.9064,0.8678,0.762,0.7086,0.6588,0.6401,1.1073,2.5115,0.6177,-2.2791
116,CaZnCd2Ge2Zr2N8,1.74,1.0,2,1.31,1.65,2,1.48,1.69,1.48,1.69,1.22,2.01,1.22,2.01,1.48,1.33,1.48,1.33,0.5898,0.9064,0.8678,0.8678,0.762,0.762,0.6401,0.6401,1.1625,2.5553,0.4868,-2.2917
117,Sr4SiGeSnZrN8,1.92,0.95,2,1.92,0.95,2,1.92,0.95,1.92,0.95,1.11,1.9,1.22,2.01,1.41,1.96,1.48,1.33,0.5495,0.5495,0.5495,0.5495,0.7865,0.762,0.7086,0.6401,2.0467,3.5037,0.7006,-2.5462
118,Sr3CdSnZrHf2N8,1.92,0.95,2,1.92,0.95,2,1.92,0.95,1.48,1.69,1.41,1.96,1.48,1.33,1.5,1.3,1.5,1.3,0.5495,0.5495,0.5495,0.8678,0.7086,0.6401,0.6585,0.6585,1.414,2.6791,0.8909,-2.7032
119,Sr2Ba2SiGe2SnN8,1.92,0.95,2,1.92,0.95,2,1.98,0.89,1.98,0.89,1.11,1.9,1.22,2.01,1.22,2.01,1.41,1.96,0.5495,0.5495,0.5029,0.5029,0.7865,0.762,0.762,0.7086,1.9442,3.4405,0.46,-2.3603
120,Sr2BaZnGe2ZrHfN8,1.92,0.95,2,1.92,0.95,2,1.98,0.89,1.31,1.65,1.22,2.01,1.22,2.01,1.48,1.33,1.5,1.3,0.5495,0.5495,0.5029,0.9064,0.762,0.762,0.6401,0.6585,1.5223,2.8848,0.8717,-2.5177
121,Sr2BaCdSiGe2HfN8,1.92,0.95,2,1.92,0.95,2,1.98,0.89,1.48,1.69,1.11,1.9,1.22,2.01,1.22,2.01,1.5,1.3,0.5495,0.5495,0.5029,0.8678,0.7865,0.762,0.762,0.6585,1.1698,2.5443,0.8447,-2.4542
122,Sr2BaCdGeSnZrHfN8,1.92,0.95,2,1.92,0.95,2,1.98,0.89,1.48,1.69,1.22,2.01,1.41,1.96,1.48,1.33,1.5,1.3,0.5495,0.5495,0.5029,0.8678,0.762,0.7086,0.6401,0.6585,1.0454,2.3316,0.9913,-2.441
123,Sr2ZnCdSi2GeTiN8,1.92,0.95,2,1.92,0.95,2,1.31,1.65,1.48,1.69,1.11,1.9,1.11,1.9,1.22,2.01,1.36,1.54,0.5495,0.5495,0.9064,0.8678,0.7865,0.7865,0.762,0.6588,1.0966,2.412,1.0557,-2.5132
124,Sr2ZnCdSi2SnZrN8,1.92,0.95,2,1.92,0.95,2,1.31,1.65,1.48,1.69,1.11,1.9,1.11,1.9,1.41,1.96,1.48,1.33,0.5495,0.5495,0.9064,0.8678,0.7865,0.7865,0.7086,0.6401,0.5695,1.8252,0.8666,-2.4035
125,Sr2Cd2GeTiHf2N8,1.92,0.95,2,1.92,0.95,2,1.48,1.69,1.48,1.69,1.22,2.01,1.36,1.54,1.5,1.3,1.5,1.3,0.5495,0.5495,0.8678,0.8678,0.762,0.6588,0.6585,0.6585,1.3548,2.6164,0.5463,-2.5699
126,SrBa2ZnGeTi2HfN8,1.92,0.95,2,1.98,0.89,2,1.98,0.89,1.31,1.65,1.22,2.01,1.36,1.54,1.36,1.54,1.5,1.3,0.5495,0.5029,0.5029,0.9064,0.762,0.6588,0.6588,0.6585,2.0413,3.3116,1.1001,-2.7064
127,SrBa2CdSiSnHf2N8,1.92,0.95,2,1.98,0.89,2,1.98,0.89,1.48,1.69,1.11,1.9,1.41,1.96,1.5,1.3,1.5,1.3,0.5495,0.5029,0.5029,0.8678,0.7865,0.7086,0.6585,0.6585,1.0106,2.2371,0.9342,-2.5927
128,SrBa2CdGeTiZr2N8,1.92,0.95,2,1.98,0.89,2,1.98,0.89,1.48,1.69,1.22,2.01,1.36,1.54,1.48,1.33,1.48,1.33,0.5495,0.5029,0.5029,0.8678,0.762,0.6588,0.6401,0.6401,1.4144,2.5834,0.6335,-2.6096
129,SrBaZn2Sn2Zr2N8,1.92,0.95,2,1.98,0.89,2,1.31,1.65,1.31,1.65,1.41,1.96,1.41,1.96,1.48,1.33,1.48,1.33,0.5495,0.5029,0.9064,0.9064,0.7086,0.7086,0.6401,0.6401,0.9008,2.1871,0.7789,-2.2635
130,SrBaZnCdGe2SnTiN8,1.92,0.95,2,1.98,0.89,2,1.31,1.65,1.48,1.69,1.22,2.01,1.22,2.01,1.41,1.96,1.36,1.54,0.5495,0.5029,0.9064,0.8678,0.762,0.762,0.7086,0.6588,0.8477,2.1761,1.0572,-2.1383
131,Ba3ZnGeTiZrHfN8,1.98,0.89,2,1.98,0.89,2,1.98,0.89,1.31,1.65,1.22,2.01,1.36,1.54,1.48,1.33,1.5,1.3,0.5029,0.5029,0.5029,0.9064,0.762,0.6588,0.6401,0.6585,1.7911,3.0114,0.6455,-2.6484
132,Ba2Zn2Ge2TiHfN8,1.98,0.89,2,1.98,0.89,2,1.31,1.65,1.31,1.65,1.22,2.01,1.22,2.01,1.36,1.54,1.5,1.3,0.5029,0.5029,0.9064,0.9064,0.762,0.762,0.6588,0.6585,1.0642,2.3945,1.2975,-2.4037
133,Ba2ZnCdSi2ZrHfN8,1.98,0.89,2,1.98,0.89,2,1.31,1.65,1.48,1.69,1.11,1.9,1.11,1.9,1.48,1.33,1.5,1.3,0.5029,0.5029,0.9064,0.8678,0.7865,0.7865,0.6401,0.6585,0.661,1.7997,1.1245,-2.585
134,ZnGeN2,1.31,1.65,2,1.31,1.65,2,1.31,1.65,1.31,1.65,1.22,2.01,1.22,2.01,1.22,2.01,1.22,2.01,0.9064,0.9064,0.9064,0.9064,0.762,0.762,0.762,0.762,1.6894,3.4061,-0.0551,-2.0021
135,BaZnCd2Si3SnN8,1.98,0.89,2,1.31,1.65,2,1.48,1.69,1.48,1.69,1.11,1.9,1.11,1.9,1.11,1.9,1.41,1.96,0.5029,0.9064,0.8678,0.8678,0.7865,0.7865,0.7865,0.7086,0.8497,2.3646,0.4261,-2.2033
136,BaCd3SnZr2HfN8,1.98,0.89,2,1.48,1.69,2,1.48,1.69,1.48,1.69,1.41,1.96,1.48,1.33,1.48,1.33,1.5,1.3,0.5029,0.8678,0.8678,0.8678,0.7086,0.6401,0.6401,0.6585,1.1396,2.3804,0.883,-2.334
137,Zn2Cd2SnTiZrHfN8,1.31,1.65,2,1.31,1.65,2,1.48,1.69,1.48,1.69,1.41,1.96,1.36,1.54,1.48,1.33,1.5,1.3,0.9064,0.9064,0.8678,0.8678,0.7086,0.6588,0.6401,0.6585,1.6186,2.9765,0.6736,-2.3203
138,ZnCd3Ge2SnHfN8,1.31,1.65,2,1.48,1.69,2,1.48,1.69,1.48,1.69,1.22,2.01,1.22,2.01,1.41,1.96,1.5,1.3,0.9064,0.8678,0.8678,0.8678,0.762,0.762,0.7086,0.6585,0.9534,2.4131,0.299,-1.9534
139,Be2Si2GaIn2YN8,0.9,1.57,2,0.9,1.57,4,1.11,1.9,1.11,1.9,1.26,1.81,1.44,1.78,1.44,1.78,1.62,1.22,0.8995,0.8995,0.7865,0.7865,0.5788,0.5583,0.5583,0.6,1.4369,3.0043,0.4524,-2.4943
140,Be2Ge2AlGaIn2N8,0.9,1.57,2,0.9,1.57,4,1.22,2.01,1.22,2.01,1.18,1.61,1.26,1.81,1.44,1.78,1.44,1.78,0.8995,0.8995,0.762,0.762,0.5775,0.5788,0.5583,0.5583,1.2358,2.749,0.7059,-2.2179
141,Be2ZrHfGa2Y2N8,0.9,1.57,2,0.9,1.57,4,1.48,1.33,1.5,1.3,1.26,1.81,1.26,1.81,1.62,1.22,1.62,1.22,0.8995,0.8995,0.6401,0.6585,0.5788,0.5788,0.6,0.6,1.6294,2.9174,0.8546,-2.856
142,BeMgSiGeAl4N8,0.9,1.57,2,1.3,1.31,4,1.11,1.9,1.22,2.01,1.18,1.61,1.18,1.61,1.18,1.61,1.18,1.61,0.8995,0.7377,0.7865,0.762,0.5775,0.5775,0.5775,0.5775,2.7039,4.4996,-0.0626,-2.8577
143,BeMgSiSnGaInScYN8,0.9,1.57,2,1.3,1.31,4,1.11,1.9,1.41,1.96,1.26,1.81,1.44,1.78,1.44,1.36,1.62,1.22,0.8995,0.7377,0.7865,0.7086,0.5788,0.5583,0.6331,0.6,0.7471,2.2264,0.7835,-2.5139
144,BeMgSiZrInSc2YN8,0.9,1.57,2,1.3,1.31,4,1.11,1.9,1.48,1.33,1.44,1.78,1.44,1.36,1.44,1.36,1.62,1.22,0.8995,0.7377,0.7865,0.6401,0.5583,0.6331,0.6331,0.6,2.0649,3.4056,0.6635,-2.9031
145,BeMgGeSnAlIn2ScN8,0.9,1.57,2,1.3,1.31,4,1.22,2.01,1.41,1.96,1.18,1.61,1.44,1.78,1.44,1.78,1.44,1.36,0.8995,0.7377,0.762,0.7086,0.5775,0.5583,0.5583,0.6331,0.7783,2.2295,0.8541,-2.3044
146,BeMgGeSnAlInY2N8,0.9,1.57,2,1.3,1.31,4,1.22,2.01,1.41,1.96,1.18,1.61,1.44,1.78,1.62,1.22,1.62,1.22,0.8995,0.7377,0.762,0.7086,0.5775,0.5583,0.6,0.6,0.5886,2.0117,0.9043,-2.4493
147,BeMgGeHfAlInY2N8,0.9,1.57,2,1.3,1.31,4,1.22,2.01,1.5,1.3,1.18,1.61,1.44,1.78,1.62,1.22,1.62,1.22,0.8995,0.7377,0.762,0.6585,0.5775,0.5583,0.6,0.6,1.0277,2.4408,0.8522,-2.6984
148,BeMgSnZrAl2ScYN8,0.9,1.57,2,1.3,1.31,4,1.41,1.96,1.48,1.33,1.18,1.61,1.18,1.61,1.44,1.36,1.62,1.22,0.8995,0.7377,0.7086,0.6401,0.5775,0.5775,0.6331,0.6,1.0819,2.4831,0.9482,-2.8326
149,BeMgTiHfAlGaInYN8,0.9,1.57,2,1.3,1.31,4,1.36,1.54,1.5,1.3,1.18,1.61,1.26,1.81,1.44,1.78,1.62,1.22,0.8995,0.7377,0.6588,0.6585,0.5775,0.5788,0.5583,0.6,1.9203,3.3095,0.587,-2.7349
150,BeMgTiHfInScY2N8,0.9,1.57,2,1.3,1.31,4,1.36,1.54,1.5,1.3,1.44,1.78,1.44,1.36,1.62,1.22,1.62,1.22,0.8995,0.7377,0.6588,0.6585,0.5583,0.6331,0.6,0.6,1.7075,3.0096,0.7873,-2.9414
151,BeMgZrHfGaSc2YN8,0.9,1.57,2,1.3,1.31,4,1.48,1.33,1.5,1.3,1.26,1.81,1.44,1.36,1.44,1.36,1.62,1.22,0.8995,0.7377,0.6401,0.6585,0.5788,0.6331,0.6331,0.6,1.1385,2.3525,0.6929,-3.0403
152,BeCaSi2AlSc2YN8,0.9,1.57,2,1.74,1.0,4,1.11,1.9,1.11,1.9,1.18,1.61,1.44,1.36,1.44,1.36,1.62,1.22,0.8995,0.5898,0.7865,0.7865,0.5775,0.6331,0.6331,0.6,2.0801,3.4892,0.3799,-2.9603
153,BeCaSiGeInScY2N8,0.9,1.57,2,1.74,1.0,4,1.11,1.9,1.22,2.01,1.44,1.78,1.44,1.36,1.62,1.22,1.62,1.22,0.8995,0.5898,0.7865,0.762,0.5583,0.6331,0.6,0.6,0.9979,2.3753,0.7422,-2.6419
154,BeCaGeSnAlGa2ScN8,0.9,1.57,2,1.74,1.0,4,1.22,2.01,1.41,1.96,1.18,1.61,1.26,1.81,1.26,1.81,1.44,1.36,0.8995,0.5898,0.762,0.7086,0.5775,0.5788,0.5788,0.6331,0.3931,1.8325,1.261,-2.4253
155,BeCaGeSnAlGaScYN8,0.9,1.57,2,1.74,1.0,4,1.22,2.01,1.41,1.96,1.18,1.61,1.26,1.81,1.44,1.36,1.62,1.22,0.8995,0.5898,0.762,0.7086,0.5775,0.5788,0.6331,0.6,0.6443,2.0438,0.8755,-2.5124
156,BeCaGeZrAlGaIn2N8,0.9,1.57,2,1.74,1.0,4,1.22,2.01,1.48,1.33,1.18,1.61,1.26,1.81,1.44,1.78,1.44,1.78,0.8995,0.5898,0.762,0.6401,0.5775,0.5788,0.5583,0.5583,0.8357,2.2445,0.9653,-2.3155
157,BeCaGeZrSc3YN8,0.9,1.57,2,1.74,1.0,4,1.22,2.01,1.48,1.33,1.44,1.36,1.44,1.36,1.44,1.36,1.62,1.22,0.8995,0.5898,0.762,0.6401,0.6331,0.6331,0.6331,0.6,1.8056,3.072,0.9252,-2.995
158,BeCaGeHfGa2ScYN8,0.9,1.57,2,1.74,1.0,4,1.22,2.01,1.5,1.3,1.26,1.81,1.26,1.81,1.44,1.36,1.62,1.22,0.8995,0.5898,0.762,0.6585,0.5788,0.5788,0.6331,0.6,1.0431,2.4166,0.909,-2.6602
159,BeCaSn2AlInY2N8,0.9,1.57,2,1.74,1.0,4,1.41,1.96,1.41,1.96,1.18,1.61,1.44,1.78,1.62,1.22,1.62,1.22,0.8995,0.5898,0.7086,0.7086,0.5775,0.5583,0.6,0.6,0.1104,1.2525,1.3175,-2.3738
160,BeCaSnTiInSc2YN8,0.9,1.57,2,1.74,1.0,4,1.41,1.96,1.36,1.54,1.44,1.78,1.44,1.36,1.44,1.36,1.62,1.22,0.8995,0.5898,0.7086,0.6588,0.5583,0.6331,0.6331,0.6,1.4035,2.7384,0.9369,-2.7203
161,BeCaTiZrAlScY2N8,0.9,1.57,2,1.74,1.0,4,1.36,1.54,1.48,1.33,1.18,1.61,1.44,1.36,1.62,1.22,1.62,1.22,0.8995,0.5898,0.6588,0.6401,0.5775,0.6331,0.6,0.6,1.3769,2.5429,0.9053,-3.0577
162,BeSrTiHfAlGa2YN8,0.9,1.57,2,1.92,0.95,4,1.36,1.54,1.5,1.3,1.18,1.61,1.26,1.81,1.26,1.81,1.62,1.22,0.8995,0.5495,0.6588,0.6585,0.5775,0.5788,0.5788,0.6,1.4738,2.7342,1.0787,-2.7612
163,BeSrHf2AlSc2YN8,0.9,1.57,2,1.92,0.95,4,1.5,1.3,1.5,1.3,1.18,1.61,1.44,1.36,1.44,1.36,1.62,1.22,0.8995,0.5495,0.6585,0.6585,0.5775,0.6331,0.6331,0.6,1.7135,2.9252,0.7847,-3.1216
164,BeBaSiGeGaInSc2N8,0.9,1.57,2,1.98,0.89,4,1.11,1.9,1.22,2.01,1.26,1.81,1.44,1.78,1.44,1.36,1.44,1.36,0.8995,0.5029,0.7865,0.762,0.5788,0.5583,0.6331,0.6331,0.4775,1.773,1.1118,-2.4108
165,BeBaSiHfIn2Sc2N8,0.9,1.57,2,1.98,0.89,4,1.11,1.9,1.5,1.3,1.44,1.78,1.44,1.78,1.44,1.36,1.44,1.36,0.8995,0.5029,0.7865,0.6585,0.5583,0.5583,0.6331,0.6331,0.4272,1.6514,1.2048,-2.6026
166,BeBaSnZrAlGa2ScN8,0.9,1.57,2,1.98,0.89,4,1.41,1.96,1.48,1.33,1.18,1.61,1.26,1.81,1.26,1.81,1.44,1.36,0.8995,0.5029,0.7086,0.6401,0.5775,0.5788,0.5788,0.6331,0.5991,1.8827,1.3403,-2.4934
167,BeBaTiZrGaScY2N8,0.9,1.57,2,1.98,0.89,4,1.36,1.54,1.48,1.33,1.26,1.81,1.44,1.36,1.62,1.22,1.62,1.22,0.8995,0.5029,0.6588,0.6401,0.5788,0.6331,0.6,0.6,1.4069,2.5696,1.1821,-2.8413
168,BeZnSiGeAl2Sc2N8,0.9,1.57,2,1.31,1.65,4,1.11,1.9,1.22,2.01,1.18,1.61,1.18,1.61,1.44,1.36,1.44,1.36,0.8995,0.9064,0.7865,0.762,0.5775,0.5775,0.6331,0.6331,2.3275,3.91,0.0804,-2.7825
169,BeZnSiZrAlIn3N8,0.9,1.57,2,1.31,1.65,4,1.11,1.9,1.48,1.33,1.18,1.61,1.44,1.78,1.44,1.78,1.44,1.78,0.8995,0.9064,0.7865,0.6401,0.5775,0.5583,0.5583,0.5583,1.1244,2.5121,0.7692,-2.3402
170,BeZnGe2AlGaInScN8,0.9,1.57,2,1.31,1.65,4,1.22,2.01,1.22,2.01,1.18,1.61,1.26,1.81,1.44,1.78,1.44,1.36,0.8995,0.9064,0.762,0.762,0.5775,0.5788,0.5583,0.6331,1.0354,2.5673,0.7335,-2.3182
171,BeZnGeTiAlGa2InN8,0.9,1.57,2,1.31,1.65,4,1.22,2.01,1.36,1.54,1.18,1.61,1.26,1.81,1.26,1.81,1.44,1.78,0.8995,0.9064,0.762,0.6588,0.5775,0.5788,0.5788,0.5583,1.6546,3.156,0.6999,-2.3463
172,BeZnSnTiAl2InScN8,0.9,1.57,2,1.31,1.65,4,1.41,1.96,1.36,1.54,1.18,1.61,1.18,1.61,1.44,1.78,1.44,1.36,0.8995,0.9064,0.7086,0.6588,0.5775,0.5775,0.5583,0.6331,1.4398,2.8673,0.684,-2.55
173,BeZnSnTiGa3YN8,0.9,1.57,2,1.31,1.65,4,1.41,1.96,1.36,1.54,1.26,1.81,1.26,1.81,1.26,1.81,1.62,1.22,0.8995,0.9064,0.7086,0.6588,0.5788,0.5788,0.5788,0.6,1.3823,2.8549,0.6726,-2.3746
174,BeZnSnZrAl2GaInN8,0.9,1.57,2,1.31,1.65,4,1.41,1.96,1.48,1.33,1.18,1.61,1.18,1.61,1.26,1.81,1.44,1.78,0.8995,0.9064,0.7086,0.6401,0.5775,0.5775,0.5788,0.5583,1.2075,2.6253,0.7903,-2.4107
175,BeZnSnZrAlScY2N8,0.9,1.57,2,1.31,1.65,4,1.41,1.96,1.48,1.33,1.18,1.61,1.44,1.36,1.62,1.22,1.62,1.22,0.8995,0.9064,0.7086,0.6401,0.5775,0.6331,0.6,0.6,1.4452,2.7639,0.9437,-2.762
176,BeZnSnZrGaInScYN8,0.9,1.57,2,1.31,1.65,4,1.41,1.96,1.48,1.33,1.26,1.81,1.44,1.78,1.44,1.36,1.62,1.22,0.8995,0.9064,0.7086,0.6401,0.5788,0.5583,0.6331,0.6,1.0449,2.4432,0.9396,-2.4515
177,BeZnTi2AlIn2YN8,0.9,1.57,2,1.31,1.65,4,1.36,1.54,1.36,1.54,1.18,1.61,1.44,1.78,1.44,1.78,1.62,1.22,0.8995,0.9064,0.6588,0.6588,0.5775,0.5583,0.5583,0.6,1.6133,2.9835,0.6695,-2.5541
178,BeZnTiZrInSc2YN8,0.9,1.57,2,1.31,1.65,4,1.36,1.54,1.48,1.33,1.44,1.78,1.44,1.36,1.44,1.36,1.62,1.22,0.8995,0.9064,0.6588,0.6401,0.5583,0.6331,0.6331,0.6,1.8681,3.1637,0.727,-2.8436
179,BeZnZr2AlGaIn2N8,0.9,1.57,2,1.31,1.65,4,1.48,1.33,1.48,1.33,1.18,1.61,1.26,1.81,1.44,1.78,1.44,1.78,0.8995,0.9064,0.6401,0.6401,0.5775,0.5788,0.5583,0.5583,1.3927,2.7582,0.9492,-2.4256
180,BeCdSi2AlIn3N8,0.9,1.57,2,1.48,1.69,4,1.11,1.9,1.11,1.9,1.18,1.61,1.44,1.78,1.44,1.78,1.44,1.78,0.8995,0.8678,0.7865,0.7865,0.5775,0.5583,0.5583,0.5583,0.4933,1.9014,1.0889,-2.1964
181,BeCdSiGeAl3InN8,0.9,1.57,2,1.48,1.69,4,1.11,1.9,1.22,2.01,1.18,1.61,1.18,1.61,1.18,1.61,1.44,1.78,0.8995,0.8678,0.7865,0.762,0.5775,0.5775,0.5775,0.5583,1.3459,2.8771,0.5978,-2.4516
182,BeCdSiSnAl2Ga2N8,0.9,1.57,2,1.48,1.69,4,1.11,1.9,1.41,1.96,1.18,1.61,1.18,1.61,1.26,1.81,1.26,1.81,0.8995,0.8678,0.7865,0.7086,0.5775,0.5775,0.5788,0.5788,0.8124,2.3089,1.0519,-2.369
183,BeCdGe2InSc2YN8,0.9,1.57,2,1.48,1.69,4,1.22,2.01,1.22,2.01,1.44,1.78,1.44,1.36,1.44,1.36,1.62,1.22,0.8995,0.8678,0.762,0.762,0.5583,0.6331,0.6331,0.6,1.1458,2.4539,0.7239,-2.4334
184,BeCdSnZrAl2Sc2N8,0.9,1.57,2,1.48,1.69,4,1.41,1.96,1.48,1.33,1.18,1.61,1.18,1.61,1.44,1.36,1.44,1.36,0.8995,0.8678,0.7086,0.6401,0.5775,0.5775,0.6331,0.6331,1.2401,2.5765,0.8955,-2.7136
185,BeCdSnHfAlIn2ScN8,0.9,1.57,2,1.48,1.69,4,1.41,1.96,1.5,1.3,1.18,1.61,1.44,1.78,1.44,1.78,1.44,1.36,0.8995,0.8678,0.7086,0.6585,0.5775,0.5583,0.5583,0.6331,0.792,2.096,1.0496,-2.3454
186,BeCdTi2InY3N8,0.9,1.57,2,1.48,1.69,4,1.36,1.54,1.36,1.54,1.44,1.78,1.62,1.22,1.62,1.22,1.62,1.22,0.8995,0.8678,0.6588,0.6588,0.5583,0.6,0.6,0.6,1.4792,2.6478,0.8852,-2.7438
187,BeCdTiZrGaIn2YN8,0.9,1.57,2,1.48,1.69,4,1.36,1.54,1.48,1.33,1.26,1.81,1.44,1.78,1.44,1.78,1.62,1.22,0.8995,0.8678,0.6588,0.6401,0.5788,0.5583,0.5583,0.6,1.3083,2.5771,0.976,-2.3854
